7	15	6
7	19	2
7	25	3
7	35	2
7	53	2
7	61	2
7	77	1
7	78	4
7	79	1
7	86	6
7	92	1
7	103	1
7	113	7
7	118	2
7	122	2
7	128	11
15	19	1
15	25	1
15	53	1
15	61	2
15	77	1
15	78	3
15	86	6
15	92	2
15	103	2
15	113	6
15	118	3
15	122	1
15	128	8
19	35	1
19	53	1
19	92	1
19	113	1
19	128	2
25	78	2
25	79	1
25	86	2
25	113	2
25	118	1
25	128	3
35	53	1
35	113	2
35	122	1
35	128	2
53	92	1
53	113	1
53	122	1
53	128	2
61	79	1
61	86	2
61	103	2
61	113	2
61	118	1
61	128	3
77	86	2
77	103	1
77	122	1
77	128	2
78	79	1
78	86	3
78	92	1
78	113	4
78	122	1
78	128	5
79	86	2
79	103	1
79	113	2
79	128	2
86	103	3
86	113	7
86	118	3
86	122	1
86	128	8
92	113	1
92	122	1
92	128	2
103	113	2
103	118	1
103	128	3
113	118	3
113	122	2
113	128	9
118	128	2
122	128	3
